gene	s_10	s_11	s_12	s_13	s_2	s_20	s_21	s_22	s_25	s_26	s_27	s_29	s_3	s_30	s_4	s_5	s_9
LOC100049638	9.52840424187166	9.38427349153808	9.52010780290098	9.08622448665833	9.56506113376658	9.25666720635675	9.21081626151054	9.30163641516558	9.10890054058314	9.10222765518185	8.91370001102638	9.08306712731892	9.33204535890622	9.18155317843782	9.68092904777451	9.19109336964494	9.19549806066293
LOC100462937	9.01000910094519	9.38639661566881	9.43449453477765	9.66374528097248	9.41563784653554	9.88678385961405	9.4845813557524	8.96384782068394	10.5574183769769	9.91065318390914	9.33043649407174	9.18335662396059	9.12639204388589	9.93413411527784	8.69975767061192	8.91457892071919	9.23388119088126
LOC101061026	6.9828599586666	7.28666880302322	7.38040955084539	7.03774106728094	6.91967272235539	7.69116584215329	7.2745980950977	7.46687580673469	7.53232984893698	7.36258256548438	7.69199300135029	7.74397231156212	7.21680386422441	7.79162866337176	6.68347839672737	6.91281070041146	6.92210933897265
LOC101061097	10.1730497371016	9.80161892830706	9.94666261404493	10.0535743879523	10.1867607557412	9.98091975376053	10.044805400639	9.8920579667677	9.96357585262719	9.82454860328547	9.90000554560955	9.76999544686355	10.1232517982929	9.66539986632043	10.4554322073483	10.1069752127542	9.95163181986442
LOC101061115	9.6019142892896	10.2356696965735	9.39707995512607	9.4231544257613	9.86389390092989	9.30391090373572	9.16906988523534	9.54418168912379	9.02219209657681	8.90072218978057	9.36774576198149	8.91959942489051	9.6970867300487	9.13785006365445	9.63623035782295	9.78857891772604	9.74981963804948
LOC101061157	6.86214360849063	6.77402345059864	7.22701473796208	6.76590630649081	6.87170532789756	7.06329699170535	6.9314410955515	6.88183838462494	7.27283804884618	7.55324747627837	7.05569802644304	7.20863625013824	6.83814863113363	7.21888069331597	6.75652528273042	6.92426600893388	7.05489666359813
LOC101061211	11.1157064496476	11.331591541951	10.9803314411794	10.7684084134098	10.8712227745284	10.8177040529945	10.5859557588263	11.1000715796043	10.2997870918827	10.4557756416073	10.6081712434019	10.7251500676215	10.9617680837169	10.6903113246715	11.458821340531	11.0449203785905	10.8953075806869
LOC101061306	8.37131517235293	8.53196137756112	8.54745500883164	8.6703647659894	8.82811684372597	8.92325533587614	8.53649931449425	8.79647209597434	9.38978707434767	8.68431557708733	8.5839728114366	8.69853881036785	8.25069199782399	9.47262921103972	7.94343123260364	8.31733819794501	8.86416918819993
LOC101061361	7.43832249518818	6.99153938701387	7.72023953133135	7.42223531847338	7.38175176296411	7.15180676808157	7.64563320920594	7.63316259449559	7.34803136554294	8.00110438380676	8.03948612692361	7.83602354287413	7.28593304810614	7.99362474093845	7.28515103552539	7.23353507316357	6.97704216499178
LOC101061564	7.79035637599821	7.67767279762507	6.90150920558609	7.59597556369664	8.22289226393665	6.99234653912957	7.16722003955152	7.16861668213608	6.86989384246921	6.59475402289315	7.27367407574441	7.7512809486781	8.34548756196811	7.12519788717726	7.7209062601347	7.86801457367028	7.7722723444016
LOC101061569	10.6850154586624	10.6475871099554	10.5117813020534	10.5492103505852	10.6683444998628	10.3265750491782	10.6867811621138	10.5970775223186	10.0458742142088	10.1712608867355	10.2318678881896	10.2858569245883	10.5093474632476	10.0850843462705	11.0765007014178	10.6831040795297	10.5563418107811
LOC101061593	9.72738591157146	9.6633355683565	10.1989101034265	9.78758952400174	9.56506113376658	10.1426701305235	9.88119638083959	10.0278180620068	10.023056051992	10.1809573814933	10.056378954063	10.3889371735111	9.73044443042577	10.1454200632907	9.73395007272561	9.75048774418033	9.65328311573648
LOC101061607	10.8719810506498	10.9061827923312	10.532002737708	10.4729701487487	10.9273603824954	10.4720688395421	10.7686939282867	10.7295095568692	10.4280047686494	9.88516124773058	10.4040193908932	10.6173851108776	10.7971150088662	10.2372432937934	11.0893422155586	10.5991984229108	10.6422292276149
LOC101062068	5.34794844438673	5.34794844438673	5.57158360513323	5.34794844438673	5.64629532106067	5.34794844438673	5.34794844438673	5.34794844438673	5.34794844438673	5.34794844438673	5.34794844438673	9.17284794103971	5.570205371482	10.3052295781932	5.34794844438673	5.34794844438673	5.34794844438673
LOC101062079	7.43832249518818	7.40713868700459	7.25723596877897	6.8070543293603	7.17237785770692	7.88052447895371	6.96813606528615	7.62604267706579	7.28385807890269	8.17640563775115	7.97919207095283	7.81533152651265	7.14359568920467	7.79886957344373	7.12928101695698	7.15159431783078	6.97704216499178
LOC101062122	11.1969938018255	11.951626118451	12.0060786018759	12.361874988625	11.7180598838504	12.1868408528754	11.751728308257	11.4502014606166	13.7211867892499	12.5285815073826	11.8203330403943	11.6421931718537	11.6964254928462	12.2831777093231	10.8493295587914	11.352351677623	11.5949780617202
LOC101062130	6.64530218710656	7.06360886483682	7.12058885227319	6.82043576123517	7.17237785770692	6.60319196712947	6.9314410955515	7.00500781447265	6.86989384246921	6.96757776140333	6.68901832834716	6.65343777303859	6.97002605644203	6.51253666620591	7.98387604919245	7.05360243038174	7.10411109000159
LOC101062193	11.1868899017617	11.545026935153	10.9173264972249	11.1231262436903	11.3201274482588	11.2135662371405	11.0709570113463	11.3151913156848	10.8691627367051	10.1777324703189	10.937506876909	10.881904252234	11.3432010949561	10.8275730106602	11.4916214996124	11.1519658851711	11.1112004994479
LOC101062254	7.08273510962497	7.18546896787771	7.3060395079997	7.51575919312983	7.09392447259499	7.86828387100673	7.06072196521702	7.208769880524	7.91476090590078	7.56363909041878	7.42237624730011	7.61318971209942	7.17550502335052	8.28073556275593	7.34028060224691	7.05360243038174	7.41205690913103
LOC101062336	9.42872876322304	9.45069947967019	9.30577893588501	9.09827441800752	9.65719539492262	9.05560433077543	8.98333420973559	9.14510885216527	8.69038439573831	8.57968021538844	8.98767076550238	8.87480880760509	9.36432914005293	8.70715605325897	9.56645822628585	9.59193250094313	9.15605530110567
LOC101062377	6.89634598252723	6.97908839723496	6.91481844714472	6.82043576123517	6.74195176294934	7.43678148160598	7.39920285819979	7.35759418964042	8.16272080415515	7.55324747627837	7.38438630532497	7.59692177589799	7.09970918156631	7.21888069331597	7.84411646671017	6.94684056276654	6.7056061441765
LOC101062446	9.75642800479062	9.3323505007852	8.46471304656504	9.00659585444634	10.1122958873707	7.72577475481992	9.2424629845983	8.39547012127468	8.89321417946058	8.43964859414675	8.306838476608	8.63069007905716	9.62263013404435	7.95555034278715	9.44441431473273	9.48420614287715	8.95296425227529
LOC101062507	9.22773469412736	9.45677186723602	9.41174641399295	9.7636603299869	9.22781932629254	9.87939471910653	9.52184867384916	9.56757286122077	10.1006583607171	9.55522996077792	9.69734333274663	9.46945695185761	9.2720332258472	9.81471467006761	8.67163784197969	9.27118863876579	9.2464498924233
LOC101062517	5.55235596382126	5.34794844438673	5.34794844438673	5.34794844438673	5.55909914996576	5.66146654276751	5.65639182399207	5.72568104119038	5.34794844438673	5.60480303483885	5.80927284154549	7.78723977499451	5.34794844438673	9.43932044386224	5.34794844438673	5.55639162736346	5.57922579104487
LOC101062620	10.9361292709543	10.7080678974631	10.719149129939	10.9975486579036	11.5753442653524	10.0601526949624	10.8520491541845	10.523704879367	10.3098724235092	10.6000145001567	10.5476786242205	10.0616127672529	10.9291612648567	10.4656554790467	10.8178998577976	11.189815148241	11.1036532975982
LOC101062644	8.10901446429093	8.00214788466572	8.06313694009299	8.14583072159198	7.96351726973084	8.22842810202182	8.10531930078942	8.14665733351083	8.16272080415515	8.28407731095365	8.16351394720138	8.21084170578465	8.07143818580597	8.26539580598044	7.7209062601347	7.96736151216013	8.02653602560696
LOC101062856	10.0207913643543	10.0220700737951	9.58620599400752	10.0274528785582	10.0385763510843	9.98917966217249	9.99009957039251	9.95882393196784	9.91646785298947	9.37790833607134	9.64519433223222	9.77866037621494	10.356664198856	9.74744433587564	10.2309926052986	10.0254976877089	9.91284401824379
LOC101062866	8.18145210715212	8.4023773125835	8.3194603795671	8.20582021476585	7.77453590043195	8.48291713598249	7.79181966265799	7.8848685312534	9.00044789166268	8.34956006525991	8.08588693775651	8.36363947637234	7.83404628617228	8.51004484123181	7.30749208629292	7.85164326982048	8.17845962130191
LOC101062871	8.06907071174633	8.06304172553735	8.10579149315717	8.11241906912741	8.58127579237952	8.18028828628279	8.24785741923365	8.20384607655788	8.33836565408035	7.81727265235421	7.94802014076365	8.1468756891276	8.38422442066047	7.96197009130372	8.88934546998838	8.2367376433571	8.01458705166394
LOC101062997	9.70485755612576	9.70640617348567	9.68773134474806	9.68620354953887	10.1627319659815	9.76694860714748	9.98344615512401	9.75471250419409	9.82968251726139	9.15257730805108	9.81325409974916	9.64285404143068	9.887994974789	9.6768676629564	10.5965650630903	9.88026309248221	9.70145188623568
LOC101063079	11.0010085145198	11.7158457183862	11.4334543298403	11.8267400220541	11.2024967791541	11.859939644366	11.3212257119739	11.3252278984442	12.934456417856	12.6375156039203	11.710245476811	11.0599217371525	11.5053435085194	12.07880960046	10.9571189121887	11.1169752862772	11.5979107313189
LOC101063080	7.92686350264041	8.15215700261944	8.44014958903167	8.62421700522207	9.38757216777161	8.13041719527216	8.68956756023448	8.39139454587076	8.88305262716849	8.55979330993261	7.37471039277471	7.83602354287413	8.70202903025308	7.46407960590473	9.32388777606671	9.27118863876579	8.21526805918027
LOC101063117	9.14206533773501	9.04810422926874	9.59356973255962	9.03948321221947	10.0718078111931	9.4727955736398	9.81226147613354	9.37901051707701	8.86595357783554	9.26663424307823	8.88170645271215	8.9037642588432	10.1652842947434	9.06967947579172	10.2620386826197	9.49449617718038	9.65139779920581
LOC101063230	7.88114815153292	8.31032780592417	8.0357912800363	7.85842486955578	7.87231187000154	8.07868017301447	7.94634941696892	7.97596013031232	7.66143125849918	7.56363909041878	7.65333109761299	7.42207441751649	7.84035663392805	7.72464523719102	7.99050217230779	7.6697062990851	8.03838197875477
LOC101063272	8.39644768004726	8.52030777873768	8.43601356897103	8.50906990520927	8.33043554534775	8.80270495723225	8.46875214761625	8.69161923040926	8.81695139760957	9.35519036659772	8.73168490641438	9.04320274530946	8.06076422035564	9.10132909470349	8.38465056538361	8.17740403358483	8.43117301196665
LOC101063273	9.73851892540911	9.6135106477122	9.69971845532233	9.9057037232525	9.57006067044294	9.86599777615637	9.77111159376568	9.73737597926226	9.97630407941408	9.59935442321374	10.0041518497046	9.90114327640327	9.56089434841124	9.96406041482076	9.334116046547	9.6014803684751	9.49403750219056
LOC101063340	9.49594316880979	9.37361039472333	9.70821981570124	9.65238299606999	9.5244247715713	9.64494624870668	9.44825675437192	9.35229902059304	9.88811768494099	9.74172459256731	9.62417738969905	9.78555488335364	9.38964205031335	9.81125157088597	9.34932269368565	9.47557432354777	9.54572671176911
LOC101063381	8.72498420396498	8.78617112720495	8.9100001052781	9.35461704514285	8.47766908588789	9.35606001544875	9.03078899262304	9.04326504021008	8.9941738150711	8.92026571689922	9.20972181101787	8.94766596249204	8.67466550817429	9.28529820265299	8.622091834727	8.72852488271054	8.85431797067683
LOC101063424	6.36961563314231	6.64673780734676	6.92797509717726	6.83365794213701	6.18165616524366	6.22298299226505	6.78578262388799	6.23563319642268	6.62813205464187	7.04818919583563	7.20891457639425	6.75618243101479	6.34736128382524	7.17293128529495	6.54182421009077	6.42658682141242	6.89362960832759
LOC101063464	7.76807675947551	7.37126895641192	7.73410501179575	7.62397513942816	7.8888571495383	7.33959007802035	7.68711311766542	7.50656440069381	7.49564880385304	6.82566292370732	7.43170103398452	7.62926004239258	7.78247410766152	7.4547483328049	8.25984722199967	7.9572381098287	7.84893147886034
LOC101063502	10.562151844076	10.9490489764362	10.8697106495668	10.5474620486812	11.0370801567714	10.5614919531229	10.4362660845343	10.4646799351805	10.2016337132194	10.3249136399057	10.2519062154984	10.5482271936003	10.4802741230713	10.3524079288583	11.0543270847632	10.5687590681026	10.629859142743
LOC101063546	6.44206241001654	6.72805365687576	6.44091842022357	6.58333158371875	6.4942436493449	6.79328310704233	7.04953636347027	6.99326123271915	6.85428734816726	6.78720379757171	6.97781387859203	6.61682024782243	6.51402162558161	7.07551414864288	6.51984570831485	6.49745756404224	6.5389541159068
LOC101063596	7.76244875610001	7.41595167526568	7.26714950119029	7.27688286668497	7.55457881496235	7.36683698749882	7.6385923331398	7.81230868906047	7.15692427794359	6.70596315665322	6.92285963258394	6.72302478215564	7.59213673690259	6.83738337929432	8.36460868948378	7.42901441281765	7.31416641214235
LOC101063645	10.4899906020415	10.8405522774781	10.765422667109	10.6479608577271	10.7118714040783	11.0151102519788	11.0437476179384	10.9109650316885	11.6938715560678	11.6677757280384	11.7808359852702	11.8969357920447	10.6911728378749	11.6104236193544	9.88219333863956	10.6039463863345	10.9399179319735
